Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
FALSE,823,8,15,66,11,1155146,1862987,2016,05-10-2016 15:56,41.77984007,-87.70676293,"(41.77984007, -87.706762932)"
FALSE,422,4,7,46,6,1193875,1851074,2016,05-10-2016 15:56,41.74628779,-87.56516873,"(41.746287787, -87.565168726)"
FALSE,334,3,7,43,2,,,2015,05-10-2016 15:56,,,
FALSE,614,6,21,71,11,,,2016,05-10-2016 15:56,,,
FALSE,313,3,20,42,6,,,2016,05-10-2016 15:56,,,
FALSE,1124,11,28,27,6,,,2015,05-10-2016 15:56,,,
TRUE,1421,14,35,22,26,,,2016,05-10-2016 15:56,,,
FALSE,1934,19,44,6,11,,,2016,05-10-2016 15:56,,,
FALSE,2533,25,37,23,6,,,2016,05-10-2016 15:56,,,
FALSE,1915,19,46,3,17,,,2016,05-10-2016 15:56,,,
FALSE,413,4,8,47,04A,,,2016,05-10-2016 15:56,,,
FALSE,935,9,3,37,3,1175550,1868625,2016,05/23/2016 03:48:54 PM,41.794879,-87.63179049,"(41.794879, -87.63179049)"
FALSE,523,5,34,53,20,,,2016,05-10-2016 15:56,,,
FALSE,1023,10,12,30,26,,,2016,05-10-2016 15:56,,,
FALSE,1724,17,33,14,26,,,2016,05-10-2016 15:56,,,
FALSE,722,7,6,68,6,,,2016,05-10-2016 15:56,,,
FALSE,1611,16,41,9,26,,,2016,05-10-2016 15:56,,,
FALSE,1834,18,42,8,6,,,2016,05-10-2016 15:56,,,
FALSE,1032,10,22,30,11,,,2016,05-10-2016 15:56,,,
FALSE,1834,18,42,8,11,,,2016,05-10-2016 15:56,,,
FALSE,931,9,16,61,20,,,2016,05-10-2016 15:56,,,
FALSE,1423,14,26,24,6,,,2016,05-10-2016 15:56,,,
FALSE,1422,14,26,23,11,,,2016,05-10-2016 15:56,,,
FALSE,513,5,10,51,11,,,2016,05-10-2016 15:56,,,
FALSE,622,6,21,71,26,,,2016,05-10-2016 15:56,,,
FALSE,835,8,18,66,01A,1160663,1855290,2016,05-10-2016 15:56,41.7586063,-87.68674885,"(41.758606301, -87.686748849)"
FALSE,1533,15,28,25,01A,1143598,1899211,2016,05-10-2016 15:56,41.87946715,-87.74819558,"(41.879467146, -87.748195577)"
TRUE,934,9,16,61,08B,1167130,1868260,2016,05-11-2016 15:50,41.79406181,-87.662677,"(41.794061805, -87.662676999)"
FALSE,725,7,17,67,15,1167495,1860032,2016,05-11-2016 15:50,41.77147534,-87.66157428,"(41.771475336, -87.661574276)"
FALSE,1134,11,24,27,18,1154249,1896836,2016,05-11-2016 15:50,41.87274397,-87.7091499,"(41.87274397, -87.709149899)"
FALSE,821,8,14,58,18,1155749,1873296,2016,05-11-2016 15:50,41.80811735,-87.70427567,"(41.808117346, -87.704275674)"
FALSE,523,5,9,53,04A,1174204,1820662,2016,05-11-2016 15:50,41.66329207,-87.63814672,"(41.663292071, -87.63814672)"
FALSE,533,5,9,54,04A,1182215,1819214,2016,05-11-2016 15:50,41.65913748,-87.60887511,"(41.659137482, -87.608875108)"
TRUE,421,4,7,43,08B,1194390,1853738,2016,05-11-2016 15:50,41.75358538,-87.56319432,"(41.753585384, -87.563194315)"
FALSE,724,7,17,67,08A,1168837,1859459,2016,05-11-2016 15:50,41.76987408,-87.65667148,"(41.769874082, -87.656671484)"
TRUE,914,9,11,60,08B,1173515,1886698,2016,05-11-2016 15:50,41.84451832,-87.63871703,"(41.844518319, -87.63871703)"
FALSE,1213,12,27,24,14,1166714,1906119,2016,05-11-2016 15:50,41.89795937,-87.66311903,"(41.897959368, -87.663119032)"
FALSE,1513,15,29,25,11,1136741,1895397,2016,05-11-2016 15:50,41.86912653,-87.77346516,"(41.869126533, -87.773465155)"
FALSE,1933,19,44,6,08A,1169640,1921442,2015,05-11-2016 15:48,41.93994326,-87.651925,"(41.939943264, -87.651924995)"
TRUE,2511,25,36,19,2,1134262,1919947,2015,05-11-2016 15:48,41.93653888,-87.78198708,"(41.936538876, -87.781987083)"
FALSE,234,2,4,41,3,1185239,1870376,2016,05-11-2016 15:48,41.79946141,-87.59620632,"(41.799461412, -87.596206318)"
FALSE,2013,20,48,77,3,1167231,1939519,2016,05-11-2016 15:48,41.9895994,-87.66025687,"(41.989599401, -87.660256868)"
FALSE,2422,24,49,1,3,1163020,1950346,2016,05-11-2016 15:48,42.01939873,-87.67543958,"(42.019398729, -87.67543958)"
FALSE,2412,24,50,2,3,1161864,1944903,2016,05-11-2016 15:48,42.00448731,-87.67984643,"(42.004487311, -87.679846425)"
FALSE,2411,24,50,2,3,1159045,1946558,2016,05-11-2016 15:48,42.00908726,-87.69017186,"(42.009087258, -87.690171862)"
FALSE,2512,25,29,19,17,,,2012,05-11-2016 15:48,,,
FALSE,2512,25,29,19,17,,,2012,05-11-2016 15:48,,,
FALSE,234,2,4,41,3,1186659,1870409,2016,05-11-2016 15:48,41.79951843,-87.59099784,"(41.799518433, -87.590997844)"
FALSE,1712,17,39,14,26,1150469,1933641,2016,05-11-2016 15:48,41.97381475,-87.72206486,"(41.973814751, -87.722064863)"
FALSE,1024,10,24,29,5,1153729,1890276,2016,05-11-2016 15:48,41.85475296,-87.71123359,"(41.854752959, -87.711233594)"
FALSE,2532,25,37,25,14,1139460,1911110,2016,05-11-2016 15:48,41.91219587,-87.7630995,"(41.912195867, -87.763099498)"
FALSE,2223,22,21,71,5,1173833,1846882,2016,05-11-2016 15:48,41.73525191,-87.63873055,"(41.735251905, -87.638730547)"
FALSE,2532,25,37,25,08B,,,2016,05-11-2016 15:48,,,
FALSE,634,6,6,49,10,1177949,1842478,2016,05-11-2016 15:48,41.72307462,-87.62378426,"(41.723074622, -87.623784263)"
FALSE,1132,11,24,26,10,1149797,1897617,2016,05-11-2016 15:48,41.8749748,-87.72547505,"(41.874974798, -87.725475051)"
TRUE,934,9,20,61,08B,1170742,1870351,2016,05-11-2016 15:50,41.79972165,-87.64937099,"(41.79972165, -87.64937099)"
FALSE,225,2,3,37,26,1175826,1871120,2016,05-11-2016 15:48,41.80171934,-87.63070362,"(41.80171934, -87.630703621)"
FALSE,323,3,6,69,26,,,2016,05-11-2016 15:48,,,
FALSE,1021,10,24,29,15,1154286,1892167,2016,05-11-2016 15:48,41.85993099,-87.7091387,"(41.859930986, -87.709138696)"
FALSE,1034,10,28,30,08A,1159029,1889294,2016,05-11-2016 15:48,41.85195123,-87.69180719,"(41.851951229, -87.691807185)"
FALSE,323,3,6,69,08B,1177959,1857714,2016,05-11-2016 15:50,41.76488381,-87.62328714,"(41.764883809, -87.623287138)"
FALSE,211,2,3,35,11,1176725,1881799,2016,05-11-2016 15:48,41.83100324,-87.62708478,"(41.831003238, -87.627084778)"
FALSE,531,5,9,50,11,1183356,1831503,2016,05-11-2016 15:48,41.69283384,-87.60431945,"(41.692833841, -87.60431945)"
